;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
3331;10651;ПЭП 2;КОС;Россия;2004-05-07;2004-05-17;2004-06-19;10.0;34.0;423.28;37.4;22.2
3338;10654;ПЭП 17;КОС;Россия;2004-05-07;2004-05-17;2004-06-19;10.0;34.0;87.23;38.4;22.4
3345;10655;ПЭП 18;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;34.32;37.8;22.0
3359;10660;ПЭП 28;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;121.55;37.0;19.5
3366;10676;Степная 85;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;177.32;41.4;21.3
3373;10677;Степная 90;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;52.91;39.8;19.7
3380;10678;СибНИИК 15/83;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;88.66;41.4;21.0
3387;5826;Fiskeby 840-7-3;КОС;Швеция;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;243.1;38.0;22.3
3397;5830;Fiskeby 1040-4-2;КОС;Швеция;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;195.91;38.7;22.7
3407;9659;Магева;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;87.23;38.5;22.3
3427;9951;УСХИ 6;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;161.59;35.5;23.8
3437;9953;Соер 4;КОС;Россия;2004-05-07;2004-05-17;2004-06-24;10.0;39.0;174.46;37.4;23.4
3447;9960;Светлая;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;188.76;46.1;16.4
